URL	Name	Price	Brand	Response Time	Refresh Rate	Resolution	Panel
https://www.newegg.com/msi-mag-244f-24-fhd-200-hz-rapid-ips-metallic-black/p/N82E16824475471?recaptcha=pass	MSI 24" 200 Hz Rapid IPS FHD Gaming Monitor Adaptive Sync MAG 244F	$119.99	MSI	0.5ms (GtG, Min)	200 Hz	1920 x 1080	Rapid IPS
https://www.newegg.com/msi-mag-325cqf-31-5-qhd-180-hz-rapid-va-metallic-black/p/N82E16824475481?recaptcha=pass	MSI 31.5" 180 Hz Rapid VA QHD Gaming Monitor AMD Adaptive Sync 91% ADOBE RGB / 96% DCI-P3 / 124% sRGB (CIE1976 Standard) MAG 325CQF	$214.99	MSI	0.5ms (GTG)	180 Hz	2560 x 1440 (2K)	Rapid VA
https://www.newegg.com/asrock-phantom-gaming-pgo27qfv-27-qhd-hdmi-30khz-510khz-48hz-360hz-dp-30khz-510khz-48hz-360hz-oled-black/p/N82E16824946006?recaptcha=pass	ASRock Phantom Gaming Monitor 27" 360Hz 0.03ms QD-OLED QHD 2560 x 1440 (2K), AMD FreeSync Premium Pro (PGO27QFV)	$648.00	ASRock Phantom Gaming	0.03 ms (GTG)	360 Hz	2560 x 1440 (2K)	OLED
https://www.newegg.com/lg-34gx90sa-w-aus-34-wqhd-240-hz-ultragear-oled-white/p/N82E16824026479?recaptcha=pass	LG UltraGear 34" 240 Hz OLED WQHD(3440x1440) Gaming Monitor Nvidia G-Sync Compatible DCI-P3 98.5% (CIE1976) HDMI 2.1 34GX90SA-W	$899.99	LG	0.03 ms	240 Hz	3440 x 1440	OLED
https://www.newegg.com/msi-mag-274cqf-27-qhd-180-hz-rapid-va-metallic-black/p/N82E16824475430?recaptcha=pass	MSI 27" 180 Hz Rapid VA QHD Gaming Monitor Adaptive Sync 89% Adobe RGB 93% DCI-P3 128% sRGB MAG 274CQF	$174.99	MSI	0.5 ms (GtG, Min.)	180 Hz	2560 x 1440 (2K)	Rapid VA
https://www.newegg.com/asrock-phantom-gaming-cl25ffa-24-5-fhd-120-hz-ips-black/p/N82E16824028019?recaptcha=pass	ASRock Phantom Gaming Monitor 24.5" 120 Hz IPS FHD sRGB 99% CL25FFA CL25FFA	$99.99	ASRock Phantom Gaming	1 ms	120 Hz	NaN	IPS
https://www.newegg.com/p/0ZK-01Y2-001Z6?recaptcha=pass	Acer Nitro ED306C Xbmiippx Gaming Monitor 29.5" VA 1500R Curved Zero-Frame UWFHD (2560 x 1080) with AMD FreeSync Premium Technology, Up to 200Hz, 1ms VRB, HDR 10, VESA mounting compliant	$179.99	Acer	1ms (VRB)	200 Hz	2560 x 1080	VA
https://www.newegg.com/msi-mag-271qpx-qd-oled-e2-27-qhd-240-hz-metallic-black/p/N82E16824475394?recaptcha=pass	MSI 27" 240 Hz OLED QHD Gaming Monitor MAG 271QPX QD-OLED E2	$649.99	MSI	0.03ms (GTG)	240 Hz	2560 x 1440 (2K)	OLED
https://www.newegg.com/msi-mag-27cq6f-27-qhd-180-hz-rapid-va-metallic-black/p/N82E16824475397?recaptcha=pass	MSI MAG 27CQ6F 27-inch 2560 x 1440 (QHD) Gaming Monitor, 180Hz, MSI MAG 27CQ6F 27-inch 2560 x 1440 (QHD) Gaming Monitor, 180Hz, Curved Screen, Adaptive-Sync, HDR Ready, HDMI, VGA Port, Display Port,VESA Mountable, Tilt, Speaker, 0.5ms, Blac	$179.99	MSI	0.5ms (GtG, Min.)	180 Hz	2560 x 1440 (2K)	Rapid VA
https://www.newegg.com/asrock-phantom-gaming-pgo32ufs-32-uhd-240hz-fhd-480hz-oled-black/p/N82E16824946005?recaptcha=pass	ASRock Phantom Gaming Monitor 31.5" 240Hz 4K/UHD (3840x2160) Flat WOLED, 0.03ms (GTG), 99% DCI-P3 / 132% sRGB Color Space, 2 x HDMI 2.1, 2 x DisplayPort 1.4, 3 x USB, PGO32UFS	$898.99	ASRock Phantom Gaming	0.03 ms (GTG)	UHD 240Hz / FHD 480Hz	3840 x 2160 (4K)	OLED
